task_id,1,2,3,4,5,6,7,8,9,10
107,303,139,337,59,245,311,349,317,153,248
108,336,222,50,155,301,309,21,294,291,14
109,220,148,118,5,322,332,242,175,205,142
110,259,128,102,70,329,192,235,279,210,181
111,178,298,262,191,61,251,188,343,223,41
112,327,96,280,258,159,47,269,87,241,284
113,238,308,331,4,104,143,215,135,315,71
114,63,190,17,263,260,295,314,123,169,244
115,182,247,226,31,156,267,214,83,124,97
116,218,240,1,325,78,137,170,150,157,196
117,328,48,206,69,176,306,44,255,236,185
118,88,132,49,130,163,268,52,253,131,285
119,319,74,179,58,90,129,302,323,3,94
120,219,264,199,282,234,34,208,348,108,77
121,171,300,113,82,239,84,227,184,149,8
122,15,270,45,233,232,32,145,313,230,202
123,180,173,344,109,120,217,316,318,189,27
124,54,231,261,146,274,91,10,105,106,20
125,103,92,216,293,197,72,254,141,107,79
126,161,46,187,299,341,127,30,342,246,73
127,289,249,95,39,338,275,119,276,43,28
128,221,195,237,286,213,12,85,68,283,211
129,168,144,167,200,0,125,64,33,11,307
130,152,75,278,166,55,193,320,114,121,165
131,266,151,288,6,13,250,22,297,36,321
132,224,209,198,330,38,51,126,203,53,296
133,326,228,346,345,98,66,2,160,7,110
134,76,93,290,252,335,16,162,272,99,339
135,134,229,23,101,86,9,177,310,304,292
136,305,140,26,271,35,212,57,116,256,347
137,81,333,62,80,122,111,194,154,204,164
138,65,174,158,67,117,273,56,225,207,42
139,243,183,115,138,60,277,350,89,40,186
140,249,218,334,217,231,267,212,77,55,185
141,253,322,180,64,80,197,162,135,209,260
142,32,126,124,57,158,189,226,8,254,202
143,336,271,107,272,42,329,92,119,174,147
144,331,65,16,4,44,85,307,21,317,301
145,219,76,349,117,52,181,99,279,95,159
146,74,309,23,20,111,252,59,199,323,169
147,100,106,248,236,258,125,96,175,31,207
148,139,193,269,211,84,228,244,36,265,122
149,250,130,170,58,342,273,101,27,230,299
150,17,104,191,234,46,45,0,222,33,146
151,259,304,168,66,41,60,167,86,110,216
152,206,68,54,6,246,220,151,22,295,38
153,62,166,291,28,300,282,176,235,123,302
154,142,292,213,262,243,337,78,61,165,276
155,30,227,215,97,50,286,51,210,12,328
156,134,320,305,128,238,195,293,121,294,127
157,98,150,247,318,34,330,88,204,327,264
158,102,171,224,138,321,154,71,345,223,131
159,257,152,347,115,103,149,344,79,25,69
160,87,156,29,325,113,14,332,160,221,40
161,339,346,94,91,10,198,144,157,153,183
162,277,129,48,3,306,284,163,108,70,275
163,255,256,89,205,5,251,316,348,177,310
164,341,109,116,133,241,335,289,208,145,308
165,24,229,26,232,192,37,266,141,274,285
166,314,278,324,245,338,136,15,114,82,311
167,261,333,280,201,148,164,281,161,190,155
168,196,120,184,188,303,72,200,2,233,283
169,319,194,312,263,287,112,1,313,172,140
170,240,143,81,19,7,350,178,49,9,105
171,11,63,237,288,13,90,75,203,83,56
172,239,242,39,214,137,296,43,173,53,73
173,340,186,67,187,290,132,298,118,35,270
174,268,182,93,179,326,225,47,343,297,315
175,33,303,98,216,225,163,184,319,120,2
176,119,14,347,88,172,266,123,316,92,224
177,144,139,77,156,261,82,214,165,152,239
178,259,308,252,89,258,29,212,310,140,61
179,299,9,86,64,331,341,142,251,76,5
180,333,210,324,4,337,268,197,253,84,15
181,344,223,215,128,12,328,24,141,348,327
182,206,208,115,148,312,149,47,154,321,179
183,39,243,32,132,136,63,287,94,329,31
184,305,228,104,67,157,93,233,345,221,80
185,182,315,107,203,284,317,249,335,143,69
186,180,213,81,177,129,290,72,96,219,131
187,292,25,273,255,350,343,301,195,234,10
188,35,79,7,30,271,75,302,155,124,242
189,247,217,209,147,181,21,231,102,106,169
190,191,38,121,34,275,65,164,283,26,51
191,254,162,227,19,278,276,62,78,133,54
192,293,66,260,83,85,99,295,262,279,291
193,332,238,167,73,190,297,230,183,244,20
194,101,309,346,334,323,126,285,91,211,192
195,153,42,189,274,0,117,46,71,294,3
196,52,304,130,264,95,207,245,286,23,151
197,108,349,313,53,257,150,235,176,57,175
198,22,170,60,193,114,300,97,41,49,158
199,58,340,256,110,45,226,288,200,17,289
200,330,113,135,56,311,265,220,13,248,188
201,87,201,241,318,270,105,122,322,90,36
202,112,277,171,43,222,269,325,109,74,282
203,336,160,44,187,185,198,280,138,134,159
204,27,338,37,307,339,11,196,168,263,100
205,204,68,246,218,267,173,296,236,116,118
206,1,125,174,326,237,202,8,205,137,50
207,161,146,199,127,16,28,250,111,232,145
208,314,298,40,272,59,281,194,6,178,342
209,186,240,320,55,306,166,70,48,103,229
210,277,25,293,26,256,252,76,93,125,88
211,133,180,283,269,211,11,322,332,202,259
212,169,340,286,98,217,338,137,179,52,218
213,172,115,210,69,62,58,151,316,6,199
214,110,265,59,345,4,270,84,85,292,300
215,37,234,241,145,231,9,146,39,196,77
216,208,154,285,327,301,1,90,290,275,166
217,122,138,117,299,40,155,43,209,108,240
218,102,107,29,42,296,195,191,100,192,339
219,177,159,178,220,171,323,193,271,32,175
220,97,162,119,319,104,134,263,173,223,260
221,318,66,189,258,5,255,167,121,224,13
222,149,27,186,158,221,135,321,94,182,118
223,41,60,71,326,324,262,287,232,147,347
224,61,311,101,237,273,50,113,75,308,238
225,317,261,14,116,131,30,73,268,48,200
226,251,266,304,331,248,198,230,170,2,65
227,190,236,330,132,302,307,233,143,284,303
228,201,216,82,63,24,129,244,242,313,54
229,12,310,228,55,36,92,78,139,235,298
230,123,103,28,126,57,86,67,164,95,329
231,342,160,22,280,229,156,45,68,157,312
232,79,17,348,35,349,219,128,109,112,335
233,267,187,239,130,141,333,10,91,320,181
234,246,99,279,120,336,337,215,8,282,184
235,150,49,70,227,81,222,291,213,33,38
236,257,306,168,136,214,114,328,212,152,47
237,83,105,44,140,276,247,295,325,245,183
238,176,21,264,344,346,188,254,19,309,111
239,165,343,289,272,142,294,163,56,226,207
240,64,148,341,20,0,89,253,204,243,72
241,278,288,7,144,46,225,315,206,274,153
242,281,197,106,53,314,96,250,87,185,51
243,205,34,16,203,334,23,194,127,297,161
244,74,174,3,305,124,80,15,31,350,249
245,300,8,109,114,192,249,222,147,234,116
246,121,308,146,154,296,80,311,99,344,233
247,218,20,202,78,136,74,256,342,321,125
248,30,285,149,87,335,337,15,189,138,322
249,56,206,163,45,63,317,269,126,223,299
250,107,325,246,62,190,61,275,10,65,211
251,67,243,34,247,141,283,195,185,165,168
252,240,108,1,194,331,0,297,281,95,29
253,235,155,232,159,3,110,332,219,96,315
254,112,346,340,259,111,221,105,86,291,343
255,329,162,267,263,23,16,257,41,130,264
256,72,17,188,40,301,284,313,133,37,277
257,104,131,145,230,248,59,217,169,58,316
258,261,94,143,251,83,52,339,174,279,245
259,2,224,347,60,260,292,236,66,237,173
260,345,161,319,5,64,298,186,213,70,262
261,31,101,310,158,118,239,334,203,350,48
262,7,81,293,51,290,216,303,320,214,177
263,124,106,140,197,50,88,151,304,157,92
264,305,323,229,82,242,164,57,24,167,117
265,132,166,128,306,25,309,265,312,27,266
266,175,21,160,278,19,341,11,302,288,150
267,134,22,44,178,39,79,171,179,201,32
268,75,208,89,255,76,250,183,129,84,348
269,49,115,123,333,272,215,97,135,28,226
270,33,280,184,326,254,225,54,182,199,152
271,258,307,153,198,137,71,200,68,139,268
272,231,13,210,170,271,93,38,12,328,241
273,205,156,228,69,142,294,119,148,26,35
274,127,36,282,55,244,336,270,253,180,46
275,113,103,330,287,100,273,191,276,14,181
276,318,204,47,220,90,295,43,6,327,42
277,193,274,77,176,324,120,122,144,209,9
278,289,207,73,349,338,314,286,98,227,91
279,196,53,238,102,252,187,212,85,172,4
280,126,338,348,279,75,284,282,303,299,48
281,211,183,4,292,162,169,244,312,239,223
282,101,221,226,150,70,228,294,87,142,177
283,254,329,344,68,288,345,196,235,107,13
284,337,114,79,140,168,257,71,259,110,95
285,31,227,188,298,295,156,45,322,10,252
286,64,250,174,180,44,220,245,280,217,91
287,297,347,206,35,129,102,207,256,38,85
288,216,135,160,198,153,27,80,249,171,57
289,225,277,49,167,56,105,229,69,319,130
290,326,339,269,248,97,268,332,137,40,19
291,90,20,99,293,320,324,185,165,203,255
292,181,72,310,93,208,246,335,120,318,253
293,141,60,0,8,274,39,308,53,237,317
294,191,122,241,32,83,104,152,115,41,325
295,106,232,112,3,334,266,291,178,47,349
296,6,316,29,267,88,222,50,218,184,173
297,272,306,315,5,149,281,205,33,194,21
298,62,287,276,283,158,42,24,159,170,146
299,202,37,55,190,275,336,66,155,264,261
300,164,46,314,132,151,304,242,342,309,26
301,133,16,204,121,236,212,17,224,201,136
302,111,154,22,262,117,346,7,176,43,265
303,89,231,271,278,78,323,333,124,52,103
304,86,2,350,238,240,109,67,166,76,270
305,100,195,127,301,82,340,14,258,108,25
306,36,341,157,23,289,84,143,187,113,197
307,92,209,296,94,163,273,63,193,189,148
308,300,74,251,28,210,98,199,128,182,51
309,59,145,331,328,263,12,260,215,96,313
310,286,161,134,81,219,58,147,302,307,243
311,330,179,123,343,290,192,116,233,327,247
312,125,200,119,214,305,186,234,54,213,9
313,175,61,139,30,172,131,11,118,144,34
314,230,1,321,138,77,73,311,15,285,65
315,24,179,310,236,106,72,296,98,161,141
316,151,227,309,237,145,117,273,180,276,266
317,28,191,93,150,316,211,33,243,37,143
318,162,249,91,149,158,295,177,233,10,85
319,54,260,220,251,217,30,134,2,57,346
320,174,317,267,281,5,188,55,280,62,259
321,223,221,240,239,43,347,328,209,70,226
322,255,66,95,292,205,196,290,6,1,212
323,60,139,218,304,92,169,318,300,319,0
324,286,254,88,77,135,40,19,183,122,284
325,348,3,187,336,21,35,235,42,288,69
326,262,198,261,154,47,202,167,194,322,110
327,203,22,341,172,128,193,102,44,108,175
328,270,13,327,27,234,53,305,213,215,41
329,61,195,46,165,303,140,34,142,330,82
330,81,4,176,192,131,8,257,306,297,159
331,274,331,241,320,242,329,89,250,32,312
332,285,17,86,144,155,228,308,16,332,83
333,340,97,163,119,65,152,204,123,210,94
334,99,178,216,58,74,238,337,246,277,326
335,48,12,49,166,146,256,231,232,294,207
336,9,107,170,64,160,181,15,325,111,272
337,101,153,148,130,136,230,268,96,271,323
338,129,105,302,264,50,133,307,278,224,247
339,333,208,248,39,20,103,219,121,279,23
340,189,56,199,311,157,350,182,282,127,283
341,301,116,52,265,289,171,68,104,244,38
342,120,313,11,112,25,214,84,229,263,287
343,87,245,299,126,78,201,293,109,147,298
344,75,80,7,291,186,168,197,339,138,51
345,36,100,164,324,252,269,14,225,115,67
346,200,76,343,206,71,321,124,338,63,315
347,118,345,185,173,190,349,184,342,314,253
348,113,137,73,258,59,222,90,334,335,29
349,125,79,31,156,114,26,45,275,344,132
350,58,265,133,140,193,9,186,319,90,302
351,25,252,15,167,295,175,284,247,315,168
352,289,110,280,93,3,343,226,71,39,151
353,40,125,271,231,16,11,36,63,42,250
354,254,166,178,60,338,89,218,188,291,244
355,248,64,100,342,213,228,78,217,165,184
356,81,173,290,79,126,257,6,276,102,212
357,222,52,47,162,72,50,108,113,350,152
358,267,348,286,49,109,99,333,313,77,306
359,179,117,95,41,75,192,101,105,97,1
360,240,334,111,204,13,45,53,33,116,279
361,157,189,14,349,54,91,27,202,74,155
362,308,114,112,176,191,26,68,17,323,174
363,214,207,142,31,55,94,330,292,337,224
364,310,229,264,283,303,237,170,321,288,304
365,233,320,335,161,67,7,104,147,236,259
366,324,115,196,340,148,69,269,329,22,76
367,281,150,128,51,326,28,136,312,32,317
368,103,239,65,154,293,327,273,12,201,137
369,347,122,318,311,130,251,200,223,263,285
370,322,325,232,119,272,135,211,297,261,187
371,339,24,216,277,275,21,159,0,34,282
372,294,270,118,185,210,301,220,177,171,37
373,242,143,258,87,84,203,121,145,238,235
374,345,138,256,160,299,169,316,123,106,255
375,66,19,88,234,20,328,243,163,153,132
376,129,61,5,46,144,92,287,199,73,274
377,298,23,139,44,127,190,197,96,260,249
378,215,300,48,344,43,346,336,268,182,2
379,80,296,194,86,85,195,10,208,156,230
380,29,227,120,98,246,332,59,124,107,198
381,309,164,245,225,134,205,183,70,4,253
382,206,219,83,266,35,314,149,331,307,180
383,38,8,82,30,172,141,181,146,241,262
384,209,305,341,158,221,131,57,278,56,62
385,135,286,178,214,306,305,265,245,259,345
386,39,152,297,335,287,283,326,4,209,29
387,269,149,263,126,202,180,71,301,63,48
388,237,153,181,15,284,220,300,158,5,9
389,172,173,294,177,108,253,162,319,101,231
390,183,70,205,344,41,47,189,332,272,58
391,11,72,166,67,104,290,140,190,270,119
392,320,323,207,45,7,251,49,116,65,193
393,248,280,318,69,196,343,42,46,37,52
394,91,123,73,328,179,208,55,134,150,143
395,146,242,258,156,76,110,329,239,309,145
396,333,324,141,22,93,198,28,321,121,87
397,249,31,197,26,267,186,89,13,246,241
398,221,21,139,34,350,113,82,230,188,81
399,185,339,137,10,262,157,236,255,57,62
400,130,161,336,122,117,100,124,310,228,115
401,219,131,59,322,229,120,174,83,187,232
402,86,27,250,170,317,118,199,97,109,223
403,311,25,103,77,288,164,282,233,194,147
404,277,279,98,169,88,43,171,107,298,167
405,175,94,314,12,338,216,154,36,50,79
406,95,247,278,330,96,200,281,195,254,234
407,127,261,224,24,211,218,260,111,148,307
408,276,275,35,289,114,217,17,51,159,331
409,303,160,85,6,235,56,1,325,129,238
410,165,138,312,222,313,105,252,92,155,64
411,163,2,53,226,14,293,40,75,182,99
412,256,215,273,316,341,210,348,84,0,206
413,132,136,78,66,304,80,340,349,257,213
414,292,30,244,68,61,144,240,133,54,302
415,227,60,184,285,8,243,20,268,151,327
416,125,347,212,315,19,112,225,168,16,142
417,38,264,74,32,291,337,192,90,203,33
418,295,128,23,201,342,106,296,191,204,3
419,44,176,299,271,102,266,346,274,334,308
420,210,63,135,48,338,113,186,109,3,143
421,40,104,225,344,34,260,230,99,223,174
422,50,326,149,45,202,46,110,65,114,237
423,132,97,182,17,61,222,211,243,14,153
424,60,142,315,241,285,345,77,207,33,53
425,316,221,72,75,120,10,137,148,232,22
426,12,68,323,26,13,69,324,288,213,234
427,206,303,201,265,320,187,155,322,31,23
428,179,130,126,121,163,294,298,70,313,195
429,49,272,141,177,144,278,264,304,319,161
430,78,166,235,115,270,164,181,55,90,350
431,327,80,38,248,341,314,251,86,194,157
432,312,44,253,158,27,247,108,218,349,227
433,318,282,102,123,32,214,101,67,52,57
434,193,169,337,271,309,129,274,184,138,200
435,9,292,259,112,306,145,280,348,291,346
436,81,268,35,152,263,74,290,293,245,162
437,58,240,289,287,15,305,197,29,190,178
438,87,224,180,334,281,297,175,266,310,307
439,139,30,59,124,64,131,239,47,257,336
440,159,343,219,258,339,168,216,36,24,7
441,188,41,54,91,267,62,156,171,242,191
442,283,196,192,167,160,277,299,20,325,233
443,105,269,66,185,51,82,295,176,39,118
444,302,228,127,215,183,19,209,300,106,311
445,328,231,100,95,4,296,88,96,140,125
446,212,205,172,276,330,116,331,332,273,256
447,217,146,204,25,329,117,208,16,8,89
448,85,133,134,261,150,321,103,119,199,226
449,71,79,122,236,308,165,94,252,262,98
450,347,173,154,340,198,342,42,128,84,73
451,43,335,189,136,56,275,250,107,37,203
452,284,6,2,1,76,170,238,317,0,333
453,111,249,301,229,11,151,286,254,279,147
454,5,21,83,220,93,28,244,255,246,92
455,193,261,170,94,4,26,345,324,268,25
456,9,187,196,238,8,36,22,313,192,323
457,102,125,289,75,325,84,1,97,334,101
458,254,260,52,90,160,188,189,185,10,231
459,50,112,35,348,215,314,318,276,191,298
460,123,121,13,30,315,128,47,62,198,113
461,28,105,252,234,103,69,68,67,92,269
462,181,85,285,87,237,93,207,150,266,178
463,59,287,145,48,297,27,143,320,262,147
464,135,29,83,294,57,312,155,277,200,122
465,46,346,164,256,156,99,63,246,309,244
466,283,49,250,127,58,199,316,303,349,31
467,273,202,225,72,7,86,322,235,195,271
468,130,241,308,20,158,338,213,146,242,65
469,232,16,174,236,286,180,337,153,73,279
470,133,78,216,211,96,45,340,32,264,219
471,203,299,292,80,275,305,228,23,129,331
472,55,265,339,24,282,221,343,5,98,258
473,19,136,173,245,12,227,301,115,327,172
474,288,223,344,317,139,107,220,212,184,333
475,40,201,257,38,43,284,126,259,290,186
476,176,154,91,116,179,108,131,194,329,76
477,39,177,310,142,243,291,168,61,335,274
478,166,0,321,6,120,336,293,114,89,267
479,206,157,161,251,42,230,330,247,106,253
480,77,218,104,210,81,15,204,100,272,21
481,171,110,197,134,17,224,74,226,34,14
482,326,95,124,71,152,137,159,118,190,151
483,347,56,79,205,41,209,109,222,341,88
484,53,51,280,169,140,319,64,304,328,117
485,167,138,311,281,183,350,233,44,111,132
486,165,295,332,278,248,296,175,162,214,54
487,82,263,182,144,307,33,342,217,208,229
488,60,270,148,3,240,119,37,239,302,141
489,163,2,255,66,149,70,306,11,249,300
490,206,28,244,11,306,327,270,6,218,94
491,231,256,128,233,210,162,178,17,22,201
492,203,262,34,221,330,153,44,196,13,321
493,315,252,169,118,105,149,137,214,31,25
494,104,27,46,328,21,176,245,77,92,232
495,184,225,247,307,292,33,248,180,10,185
496,164,108,133,219,326,287,83,89,19,194
497,120,305,319,45,250,313,124,157,282,93
498,139,284,303,283,102,246,99,67,257,143
499,41,258,12,114,337,14,344,171,302,294
500,70,297,205,154,254,259,131,332,32,55
501,111,163,121,266,281,23,342,54,126,273
502,192,241,340,346,290,129,167,132,76,293
503,74,299,240,64,52,228,279,341,29,288
504,20,350,134,103,193,35,61,301,138,130
505,116,235,316,122,291,101,255,217,251,345
506,73,69,285,146,106,90,343,253,60,335
507,264,322,268,68,3,331,317,63,26,2
508,230,242,339,269,234,113,51,312,24,148
509,53,197,261,117,57,159,161,145,265,15
510,277,175,119,50,188,280,334,191,236,123
511,79,173,323,204,200,295,320,16,166,40
512,30,75,338,186,187,208,267,65,237,181
513,183,190,249,43,152,300,165,97,155,136
514,150,349,141,59,212,309,202,239,318,213
515,91,0,310,172,47,286,72,308,329,140
516,272,168,71,112,78,179,189,8,66,224
517,348,227,115,95,9,4,311,48,160,127
518,100,107,278,174,62,158,151,110,39,223
519,199,87,324,109,96,238,263,195,226,37
520,42,84,333,274,1,86,314,147,182,276
521,289,222,156,271,80,260,82,209,220,144
522,229,49,325,347,275,207,38,135,177,58
523,36,98,142,336,298,5,81,125,7,296
524,198,170,243,216,56,211,304,215,85,88
525,12,297,98,292,78,208,129,21,40,187
526,57,212,218,143,283,142,154,304,272,315
527,32,106,251,169,90,228,118,309,196,210
528,322,343,85,49,89,112,17,334,60,74
529,13,123,332,350,284,80,298,339,293,316
530,170,136,338,101,299,274,321,37,54,34
531,131,240,107,97,219,286,289,81,250,344
532,241,150,279,22,39,214,204,137,312,178
533,48,47,198,176,238,36,140,121,161,221
534,277,280,111,77,27,151,291,202,189,113
535,133,16,70,122,327,314,45,130,2,76
536,303,14,207,220,266,175,15,168,91,230
537,288,86,253,347,236,267,340,183,205,24
538,1,181,11,148,185,200,7,276,125,269
539,295,68,188,61,323,114,302,99,282,30
540,71,320,120,103,158,190,55,294,174,165
541,213,300,138,346,182,88,9,26,155,75
542,335,216,51,162,336,159,0,329,244,247
543,94,227,345,50,172,194,226,248,3,10
544,348,319,58,160,42,4,149,254,126,290
545,217,134,146,197,262,141,341,163,69,203
546,349,87,243,139,157,255,5,249,164,79
547,25,333,195,173,8,186,52,263,328,64
548,281,152,171,6,313,235,257,264,271,31
549,63,117,234,20,206,278,337,23,287,307
550,105,119,245,260,62,46,84,317,147,115
551,44,268,38,305,67,19,224,265,95,209
552,330,41,56,93,261,211,35,177,239,342
553,223,108,285,83,102,275,193,308,73,180
554,33,225,259,237,258,65,246,72,318,270
555,201,109,252,192,232,273,233,82,326,92
556,28,153,306,184,53,179,324,132,29,310
557,116,144,229,242,301,104,311,325,59,127
558,215,110,199,296,156,43,96,100,135,191
559,331,167,66,124,256,231,128,145,222,166
560,304,56,257,203,278,338,45,29,6,200
561,274,264,311,232,277,80,183,82,75,172
562,196,123,133,49,101,214,50,191,299,119
563,70,81,53,251,111,138,146,11,248,52
564,211,136,245,239,36,252,180,241,204,276
565,151,339,59,181,150,282,224,55,268,198
566,113,167,127,227,279,256,344,46,285,307
567,25,9,234,260,64,86,159,206,184,244
568,108,300,186,173,54,134,87,161,135,319
569,342,348,78,301,19,308,243,216,217,259
570,328,157,326,262,128,187,314,321,33,117
571,213,85,31,66,205,334,254,21,114,199
572,323,90,293,16,194,94,332,131,129,238
573,147,297,171,258,233,325,208,68,27,23
574,221,1,310,201,88,306,144,124,215,42
575,270,0,142,330,104,222,207,212,291,17
576,345,72,154,28,69,102,51,228,210,176
577,230,43,286,26,178,296,112,34,61,156
578,317,121,275,235,190,118,39,236,237,324
579,177,162,169,179,141,4,329,195,271,91
580,98,116,149,335,320,272,152,125,139,315
581,225,12,290,287,240,220,96,137,346,289
582,269,22,218,280,76,100,37,265,71,343
583,5,273,107,350,182,106,188,20,103,165
584,309,284,24,229,327,79,3,337,130,298
585,219,140,163,168,48,99,185,89,132,263
586,295,336,261,115,164,341,13,316,242,226
587,38,14,67,197,283,65,160,8,93,292
588,174,84,231,41,158,253,10,143,92,32
589,83,247,155,347,74,35,294,202,313,44
590,312,7,267,349,110,331,175,193,302,63
591,288,15,250,73,47,303,145,148,153,281
592,189,266,40,57,322,255,209,192,122,105
593,249,305,58,340,246,223,126,2,333,97
594,30,109,95,166,77,170,60,318,62,120
595,41,229,246,160,191,281,112,295,269,257
596,297,151,162,17,289,320,300,0,104,234
597,185,159,45,240,247,270,307,205,208,172
598,309,345,88,95,133,135,9,89,37,141
599,106,42,328,154,331,99,36,277,303,236
600,111,29,107,198,256,35,350,175,146,189
601,1,49,344,176,181,28,11,249,206,40
602,334,311,138,100,39,194,202,239,199,291
603,10,179,43,302,327,211,186,193,119,60
604,46,65,188,275,341,219,265,82,143,167
605,32,115,122,157,284,79,212,140,108,70
606,96,182,340,332,109,16,165,217,314,83
607,195,114,304,180,12,329,155,333,299,323
608,235,47,125,71,51,322,86,121,90,204
609,282,13,285,312,7,243,56,64,75,30
610,66,171,169,61,330,163,3,252,319,2
611,6,50,26,187,20,263,74,301,153,161
612,80,349,173,248,27,142,149,316,103,131
613,145,268,55,216,15,147,220,261,259,44
614,110,260,97,24,94,63,48,136,127,69
615,310,105,116,113,342,139,201,230,123,228
616,337,325,326,258,129,294,22,221,184,346
617,54,174,231,218,120,286,152,92,158,272
618,233,348,73,5,130,262,177,197,274,156
619,62,290,21,117,223,124,335,87,271,144
620,339,84,338,237,68,321,273,222,288,241
621,78,287,343,306,317,250,203,102,200,150
622,214,134,242,23,215,93,19,38,244,280
623,315,98,58,33,209,128,278,178,232,4
624,53,118,305,324,52,59,267,72,308,318
625,276,14,137,213,227,207,76,132,101,224
626,279,190,313,255,266,347,283,296,251,168
627,336,238,81,196,57,192,148,264,85,210
628,253,183,166,292,31,25,298,226,245,293
629,225,164,34,77,170,91,126,8,67,254
630,93,202,79,328,251,312,71,232,226,69
631,86,85,193,17,78,238,333,327,150,243
632,342,295,189,63,31,203,15,200,280,294
633,236,83,269,339,22,29,324,275,81,118
