pair_id,bach_id,mock_id,mock_model,bach_grade,mock_grade,bach_is
132,256,39,base,40.15390970353829,35.01967038338471,a
133,20,197,base,39.351199944478076,29.05744929773177,a
134,219,203,base,40.07868312082636,28.27863429685304,a
135,145,5,base,31.38879568464811,-19.923795999093834,a
136,42,319,base,39.9680515712286,2.2047662528375507,a
137,246,284,base,36.84274940410617,38.636626457059975,b
138,152,263,base,30.878378056559143,38.437244359635976,a
139,78,150,base,34.29442687363525,26.928367034198715,b
140,26,67,base,35.24695768369639,37.91214507282382,b
141,133,155,base,31.721481161177355,-932.3118614919003,a
142,339,241,base,38.98905147488161,37.64413839210158,b
143,46,194,base,39.43414091726635,18.214380731603548,a
144,298,252,base,39.05851516155795,35.90130164169653,a
145,8,333,base,38.75069793736261,27.61399872050088,b
146,307,52,base,37.124800261867335,30.1111208001968,b
147,102,31,base,36.48473629806819,38.27057037350805,b
148,56,101,base,36.958295140291746,33.90751178700004,b
149,301,179,base,39.26711577032394,36.09352542263853,b
150,0,178,base,35.99336215185282,32.6843789935996,b
151,347,340,base,39.50112094013501,31.312399594782143,a
152,215,18,base,39.571668694858744,34.10506098004774,a
153,289,103,base,33.06010891024897,37.91158711506574,a
154,265,244,base,38.432837560503295,15.506081777483935,b
155,150,330,base,33.22044604890563,37.46936096420536,a
156,290,60,base,39.45273362884613,7.288521029758903,b
157,87,94,base,39.60330801426113,36.219549956179705,a
158,214,105,base,34.74023722755279,36.878394373223045,b
159,27,97,base,36.20456493025243,5.24972289505488,a
160,247,123,base,37.24968189591128,-96.8373679793875,b
161,253,10,base,39.56586536637392,36.653392036422964,b
162,74,332,base,37.36833412320353,3.2535072328811414,a
163,192,87,base,36.34643140352032,30.28008706370375,b
164,158,89,base,38.79942344947312,32.800229938152796,a
165,25,85,base,34.845607634452264,7.577732486840753,a
166,142,247,base,38.17176427817512,-175.54379895571026,b
167,103,125,base,30.842080009825892,-18.49777805796864,a
168,115,299,base,34.353591550281536,16.888066774507074,b
169,165,282,base,37.29968059878464,31.892815116699786,a
170,155,3,base,40.0851046002188,-58.728670784512126,a
171,346,147,base,38.36356994601557,-932.3118614919003,b
172,69,184,base,37.43076882386821,39.36690615442644,a
173,68,335,base,38.51833239846813,-30.082511391746696,a
174,18,246,base,39.18360154028567,38.66823329394312,a
175,140,62,base,40.36687850182778,18.22791986150707,b
176,107,289,base,36.82735264137945,11.732672325199573,a
177,329,281,base,40.29935508072931,38.602880756472146,a
178,227,22,base,34.6910921225338,32.975522454281304,a
179,250,327,base,39.40816122241718,27.17218557766179,a
180,296,315,base,38.067752588710974,17.790772733707165,b
181,312,46,base,39.24427764802184,34.072540732491525,a
182,3,2,base,30.700750113518172,28.73797935427638,b
183,291,231,base,36.95101157612811,30.87286894916059,b
184,242,199,base,38.52689288850875,30.02874328264303,a
185,48,294,base,36.603900813573645,32.674521388152556,a
186,212,130,base,35.695045614921,36.49827246468554,a
187,259,8,base,34.0848479580654,36.16027700153239,b
188,84,306,base,39.9689367353222,33.99737518673343,a
189,24,313,base,38.80268035730032,-4.00061919292061,b
190,331,119,base,39.76164785127565,27.11818065782469,b
191,313,321,base,38.78263693084079,9.901574372175313,a
192,139,307,base,39.25755680151314,37.7256955329914,a
193,181,272,base,32.83695984086356,32.21969185467492,b
194,141,224,base,39.59960148302332,38.47223192309311,b
195,255,16,base,35.95531001800562,31.5639122252977,a
196,66,186,base,38.840689722867616,3.508329529143083,b
197,284,164,base,32.52051536703368,26.946288263392105,a
198,266,12,base,29.825372373846413,29.32493012328867,b
199,156,309,base,39.52266867462565,24.021387548188343,b
200,222,42,base,36.85663053137103,23.05306410749538,a
201,161,102,base,31.55910832761163,35.25260032548467,a
202,333,221,base,36.3723173767937,5.381499512271553,b
203,89,334,base,36.033870175019175,21.236086754941763,a
204,325,270,base,37.96205977921636,-932.3118614919003,a
205,268,232,base,37.43071842563039,39.805027189841965,a
206,64,11,base,39.307380204278935,22.77429549575336,a
207,184,274,base,31.518227562829537,34.766637080659635,b
208,168,261,base,31.337322104109486,34.67807551663044,a
209,233,53,base,38.020235019475905,21.468993185117426,b
210,29,113,base,38.58192004994997,24.002060558812452,b
211,299,156,base,37.52318268732554,32.312332160808175,a
212,210,204,base,32.40165640123021,25.77468585792521,b
213,208,93,base,38.45303961921714,39.04038932879249,b
214,318,278,base,25.734882569164103,20.661019013726055,a
215,216,121,base,37.577750145870034,-27.07473018164536,b
216,143,108,base,30.75566500123798,-11.848616236056372,b
217,70,257,base,36.70533567539282,18.46704571502664,a
218,132,279,base,38.84440126011615,28.67901161054478,b
219,35,63,base,37.98953746349692,34.63671619431038,a
220,14,277,base,40.87551810531478,20.260707548892366,b
221,126,47,base,37.38210093168736,37.43030093910495,b
222,335,215,base,39.08418025155189,-12.947609714231815,b
223,193,180,base,37.38911978442685,34.442989587753466,b
224,19,30,base,36.40889565467865,30.371246609914003,a
225,344,228,base,39.27025013876164,-26.583939114372182,a
226,321,160,base,38.77592222319512,31.989487033429924,a
227,162,326,base,38.995690596352965,34.236841065389406,b
228,47,310,base,37.60537345879171,-19.17711385477066,b
229,72,117,base,35.565147133534275,-29.30751753640181,b
230,109,171,base,37.935710972580104,14.100499330974744,a
231,111,128,base,35.23424965232695,31.601413757201932,a
232,100,44,base,39.12636643180326,35.11606924020105,a
233,10,131,base,35.84394803586537,39.32903641567145,b
234,328,148,base,39.762755784708816,37.77120191228633,b
235,154,77,base,40.52733825134076,34.42729292605378,a
236,273,339,base,36.15485999954012,25.561176868241148,a
237,61,243,base,39.745488272566845,-55.723876029399364,b
238,22,74,base,38.80920842154092,37.83944583407787,a
239,272,264,base,39.52767516008783,21.043448461069808,b
240,276,132,base,40.805586061013386,20.076635361306344,b
241,65,14,base,38.954971997637415,37.248103582275796,b
242,147,116,base,36.61224560038657,39.3813703798324,b
243,73,88,base,38.70883017757637,15.001364192955416,b
244,34,157,base,37.85789993656502,35.99776664845621,a
245,62,210,base,35.61134068782092,16.760238294693245,a
246,49,56,base,35.250438811566084,-31.461862578341066,b
247,131,195,base,38.5613454810743,32.614901562356856,b
248,88,329,base,39.40816122241718,33.245703976697925,a
249,245,24,base,39.153733937924706,32.23781464117206,b
250,218,86,base,38.73048814767489,39.16824905689572,a
251,336,346,base,36.413906507451564,25.51977724192277,a
252,327,206,base,39.95347185220601,-4.201063412453131,b
253,57,191,base,37.960416459956434,23.715352274534016,b
254,349,182,base,37.02864160286846,36.071430422210895,a
255,267,227,base,33.772475104323895,34.2541907318374,b
256,204,226,base,37.98966239064142,39.642984811951706,b
257,297,177,base,37.18028884660709,26.08039467065115,a
258,244,81,base,39.38430330209768,31.72790821033624,b
259,235,95,base,39.78019278507575,24.365135742499987,a
260,300,295,base,39.249109260885355,19.358427042598585,a
261,293,242,base,36.34643140352032,40.13969136445851,a
262,119,59,base,39.19519820773266,32.0549889877476,b
263,280,293,base,37.86003164576695,30.06044858576219,b
264,58,240,base,38.139404807890436,30.04878471942832,a
265,85,325,base,36.92238483058628,36.00715712645461,b
266,151,190,base,38.337836545217684,1.4493194318328548,b
267,295,163,base,37.99836316314318,23.62325043699214,a
268,16,174,base,38.94584977121849,38.806009617232924,b
269,1,220,base,37.71195672997741,35.242056139670794,a
270,122,71,base,32.99101086148444,32.23106057296325,b
271,320,348,base,37.44815082934083,-56.3101121288315,b
272,249,225,base,34.988267490169505,37.91034178836932,b
273,127,41,base,38.522442763251746,16.343619718802493,a
274,304,151,base,38.115261937507306,33.86343063132664,a
275,52,248,base,35.39759882973485,32.336078982577526,b
276,279,169,base,38.76619235085413,37.680833114878304,b
277,129,301,base,37.047678865993696,34.295528005064504,b
278,278,280,base,36.6080908647832,28.831113040567,b
279,241,214,base,39.52607867437321,-11.853389142727153,a
280,120,96,base,38.42144871322135,35.159782738395144,b
281,38,209,base,31.710119726269287,35.345040531821596,a
282,226,213,base,39.22287772082347,33.77027954955173,b
283,80,297,base,37.5362586623464,0.8562917852833181,b
284,5,208,base,38.94587274328532,22.609726144320735,b
285,159,137,base,36.883346637052334,34.42437293525126,b
286,167,311,base,37.1680139991651,36.46470072546879,a
287,316,316,base,37.81098203497522,21.66440995165605,a
288,188,134,base,38.067752588710974,37.25902526967833,b
289,262,115,base,39.42169421436914,32.81249819977414,a
290,177,69,base,37.15476010353093,34.19883697161297,a
291,213,234,base,40.340135074001275,-932.3118614919003,b
292,182,29,base,33.71128728402303,-932.3118614919003,b
293,59,318,base,34.988267490169505,34.92627029887153,a
294,148,33,base,38.87602858543124,-8.74333430213445,b
295,96,1,base,34.00677773341633,-932.3118614919003,b
296,338,149,base,32.49990336404671,6.7710601870612726,a
297,197,253,base,29.32941505554893,28.34654133631757,b
298,350,250,base,37.59373881760293,-0.9300443811387707,a
299,348,40,base,37.65125510214909,27.342214414544372,b
300,99,175,base,38.734775491918406,33.81105677798301,a
301,270,300,base,34.970564418898185,32.31690933341149,a
302,332,168,base,36.42531060402123,-116.76299414983538,a
303,196,13,base,39.017340520714605,21.199269389814337,a
304,153,290,base,38.504085695369646,28.136934120832237,a
305,234,91,base,38.52449343622352,27.30668630911408,a
306,30,7,base,37.608834363858385,34.759440046168386,b
307,83,38,base,39.05499477422727,-7.482489306282452,a
308,342,153,base,38.75069793736261,33.73599476496278,a
309,292,187,base,38.58678396356464,38.118647808826545,b
310,39,48,base,38.46723806946114,33.173405274897505,b
311,23,73,base,39.34068872665563,38.605339788389685,a
312,274,273,base,37.24968189591128,32.21137827581551,b
313,113,100,base,38.7169404840216,36.795994301230614,b
314,230,76,base,37.38249573129644,28.264559230621423,a
315,330,162,base,38.26654147481527,33.82245059807548,a
316,232,205,base,37.01400242135705,30.774558553544825,b
317,50,27,base,40.351439219131215,31.350531069713988,b
318,11,72,base,36.27178748260354,33.932269494912674,a
319,314,106,base,38.49765766861695,-38.619410047566774,b
320,2,331,base,37.97486889393756,24.70454810376002,a
321,311,138,base,39.22435551411482,-932.3118614919003,b
322,254,305,base,38.46662609288895,-59.71155810202037,a
323,175,172,base,38.788483591226395,20.531703611798264,b
324,91,110,base,36.917434294525854,23.2619667578232,a
325,343,219,base,39.108887415987795,26.576759536215967,a
326,138,66,base,36.68302120707654,32.962308191725604,b
327,240,136,base,38.74916090586606,38.05029512672877,b
328,194,20,base,37.18028884660709,38.03289181043571,a
329,264,23,base,32.86353312805071,31.8869379496648,a
330,173,37,base,40.01194224617243,22.25011906238161,b
331,252,285,base,37.791601163236386,37.34789669040554,b
332,106,141,base,34.105370782596786,30.990597214384014,a
333,189,239,base,38.390442867716594,31.222959801345603,a
334,209,338,base,38.405599366785786,19.422154089390816,b
335,67,161,base,40.399652097448296,35.97303456215167,a
336,310,303,base,30.31903827616083,-932.3118614919003,a
337,263,245,base,38.28305881408935,16.24011495059417,a
338,251,176,base,37.56303048638669,39.4108994588998,b
339,323,79,base,33.78341800774406,31.402002695309605,b
340,190,238,base,38.269943252895544,36.48930108917504,a
341,271,120,base,36.424767513258814,38.568496932744154,a
342,287,322,base,39.10545208078875,-932.3118614919003,a
343,28,320,base,40.929620745215786,39.05655326532123,a
344,337,54,base,36.475438684750756,35.26218114383827,a
345,282,90,base,36.51061072272992,36.544334390029036,b
346,9,216,base,39.20550553725186,31.256877077282986,a
347,92,265,base,38.95094603431211,36.10378073312317,b
348,248,288,base,39.06550549085219,33.596037451271876,b
349,53,267,base,39.47874964669733,9.514548653764171,b
350,302,198,base,39.06721955563639,37.34302135871295,a
